Mac address,IP address,Total number of acks
a8:88:08:ce:56:f7,10.171.214.243,4
00:10:49:17:8b:59,10.191.239.159,2
c8:f6:50:d6:e1:01,10.119.221.99,6
78:3a:84:ca:fe:41,10.104.221.9,4
78:3a:84:8a:27:1f,10.122.221.128,4
04:0c:ce:1b:3e:bf,10.172.221.88,2
c8:f6:50:a1:e6:d1,10.101.222.68,4
2c:f0:ee:22:8b:96,10.104.221.49,2
00:10:49:17:8a:9d,10.191.239.167,2
c8:f6:50:cc:35:f3,10.144.219.145,4
78:3a:84:ad:aa:a2,10.122.221.117,8
78:3a:84:93:08:11,10.122.221.142,6
78:fd:94:2f:d6:90,10.142.220.252,2
78:3a:84:b1:5c:dc,10.104.220.254,4
6c:f3:7f:ca:31:03,10.192.125.244,2
78:3a:84:cc:9b:20,10.120.219.239,4
c8:f6:50:d5:a9:d3,10.172.217.176,2
00:10:49:1c:27:05,10.191.239.119,2
78:fd:94:3e:db:de,10.120.219.244,2
04:0c:ce:1b:44:84,10.143.222.62,4
c8:f6:50:a1:d2:97,10.173.216.192,4
6c:70:9f:7b:5b:87,10.122.222.145,4
c8:f6:50:e7:75:73,10.105.199.232,6
c8:f6:50:cc:76:24,10.142.220.117,4
c8:f6:50:cc:3b:e7,10.142.220.172,4
c8:f6:50:a2:e5:16,10.126.220.132,8
c8:f6:50:d6:da:48,10.103.221.82,6
04:0c:ce:1b:46:5e,10.172.220.128,2
c8:f6:50:a3:ed:a4,10.103.221.62,6
c8:f6:50:a3:bd:e0,10.119.222.41,4
c8:f6:50:e6:06:2a,10.103.221.65,4
10:ae:60:dd:8d:01,10.191.212.186,4
00:23:12:25:4c:76,10.143.223.97,2
04:e5:36:09:1c:d3,10.103.222.114,4
c8:f6:50:a2:f2:e0,10.119.222.44,5
00:1b:78:ec:9d:ff,10.119.192.1,2
c8:f6:50:e6:fe:9d,10.142.221.35,6
c8:f6:50:a2:17:66,10.106.222.44,4
c8:f6:50:e7:96:0f,10.126.220.165,6
78:3a:84:c1:df:17,10.144.220.107,6
78:3a:84:af:92:4e,10.122.221.123,4
2c:f0:ee:92:df:bd,10.171.207.12,2
6c:70:9f:74:f7:7f,10.172.219.36,8
04:e5:36:06:7e:dd,10.103.222.107,6
78:3a:84:c7:ab:ac,10.192.197.183,6
78:fd:94:3f:97:d6,10.103.221.101,6
c8:f6:50:a1:d1:73,10.111.221.132,8
c8:f6:50:a2:c1:9f,10.126.220.140,2
78:3a:84:be:90:61,10.124.222.12,2
04:e5:36:0a:d9:7b,10.103.222.104,6
2c:f0:ee:91:95:1a,10.171.206.235,2
c8:f6:50:d7:33:52,10.119.221.92,6
c8:f6:50:a6:89:5a,10.123.220.211,4
c8:f6:50:a2:81:e7,10.126.220.98,2
c8:f6:50:a1:d6:f5,10.125.222.70,4
78:3a:84:b0:ac:c9,10.104.221.8,6
c8:f6:50:d6:e4:34,10.171.205.227,4
04:0c:ce:1b:42:fb,10.146.222.195,2
c8:f6:50:a1:a9:b8,10.113.220.164,6
6c:70:9f:79:b1:99,10.172.219.32,6
78:fd:94:2d:e1:12,10.106.221.141,4
78:3a:84:bc:72:36,10.131.222.142,9
c8:f6:50:df:c9:c8,10.101.222.55,6
d8:c7:c8:c1:ab:64,10.113.107.119,2
78:3a:84:b2:6c:5f,10.122.221.143,8
c8:f6:50:a1:d0:21,10.141.217.7,6
78:3a:84:b8:c9:83,10.104.220.255,4
78:3a:84:af:bb:49,10.126.219.115,2
78:fd:94:41:b7:38,10.121.221.140,4
6c:70:9f:7b:26:6e,10.126.220.156,2
78:3a:84:92:f5:01,10.171.206.31,6
78:3a:84:b7:46:95,10.122.221.130,4
6c:70:9f:7b:50:b9,10.122.222.115,6
78:3a:84:b1:5c:19,10.121.222.0,6
c8:f6:50:e0:e6:c5,10.126.220.166,6
d8:c7:c8:c1:ab:4f,10.173.127.233,2
c8:f6:50:a1:d4:b4,10.111.221.118,8
00:16:76:de:8c:8a,10.172.125.128,2
a8:88:08:c1:8a:45,10.171.214.234,6
c8:bc:c8:c7:f6:91,10.141.218.122,2
a8:88:08:d1:9d:8b,10.103.222.142,6
00:23:12:24:2d:3b,10.147.218.128,2
c8:f6:50:a2:39:ba,10.119.222.27,6
78:3a:84:ba:3d:83,10.131.222.70,4
78:3a:84:89:b4:56,10.131.222.66,6
78:fd:94:40:27:ea,10.121.222.7,8
c8:f6:50:e0:e2:0f,10.173.216.2,6
c8:f6:50:d5:f6:f4,10.105.200.15,6
c8:f6:50:e0:ff:1c,10.115.220.208,6
78:3a:84:c5:55:e6,10.111.221.116,6
c8:f6:50:e6:7c:e5,10.173.215.246,6
c8:f6:50:e7:9f:c3,10.172.216.88,2
6c:70:9f:7b:66:f4,10.122.222.23,4
78:3a:84:b5:f9:02,10.122.221.127,4
04:0c:ce:1b:47:66,10.146.222.180,2
c8:f6:50:d7:2b:83,10.115.220.201,2
78:3a:84:c5:5a:e4,10.104.221.12,6
c8:f6:50:d4:93:d0,10.119.222.29,6
00:23:12:25:3d:d5,10.119.221.32,2
c8:f6:50:a2:f7:57,10.126.220.94,2
a8:88:08:be:63:bc,10.171.214.238,8
c8:f6:50:a1:95:e1,10.111.221.112,4
78:fd:94:41:40:64,10.105.198.215,2
